"Dấu thời gian","Trong 7 ngày qua, bạn đã cần tìm thông tin hoặc hỏi đáp trên Discord khóa học bao nhiêu lần?","Lần gần nhất, bạn cần tìm thông tin thuộc nhóm nào?","Kể ngắn gọn lần đó: bạn cần biết điều gì hoặc hoàn thành việc gì?","Bạn đã làm những gì để tìm câu trả lời trong lần đó?","Trở ngại lớn nhất trong lần đó là gì?","Bạn đã dành khoảng bao lâu chủ động tìm, đọc hoặc hỏi trong lần đó?","Cuối cùng, bạn có giải quyết được việc cần làm không?","Việc tìm thông tin lần đó ảnh hưởng thế nào đến việc học/làm bài?","Riêng trong lần đó, bạn có dùng bot Trợ lý Discord không? Kết quả thế nào?","Trong 7 ngày qua, trở ngại tương tự đã xảy ra bao nhiêu lần?"
"2026/09/16 7:00:57 CH GMT+7","2-3 lần","Điểm danh, standup, XP hoặc thủ tục khóa học","nộp daily standup (Do mới dùng discord)","Hỏi bạn học","Không gặp trở ngại","Từ 1 đến dưới 5 phút","Có, đủ thông tin để tiếp tục","Không ảnh hưởng","Không dùng bot","1"
"2026/09/16 7:01:31 CH GMT+7","2-3 lần","Điểm danh, standup, XP hoặc thủ tục khóa học","tạo ticket hỏi về lịch học","Đọc thông báo hoặc tin ghim;Dùng chức năng tìm kiếm Discord;Cuộn đọc tin nhắn cũ;Hỏi bot Trợ lý;Hỏi bạn học;Hỏi TA/giảng viên/BTC","Có nhiều thông tin khác nhau, không biết thông tin nào áp dụng","Từ 10 đến dưới 20 phút","Có, đủ thông tin để tiếp tục","Tốn nhiều thời gian","Có, nhưng tôi phải hỏi lại hoặc tìm nguồn khác","2-3"
"2026/09/16 7:02:08 CH GMT+7","2-3 lần","Hạn nộp, đường dẫn hoặc cách nộp bài","Tài nguyên nằm ở đâu","Dùng chức năng tìm kiếm Discord;Cuộn đọc tin nhắn cũ","Không tìm thấy thông báo hoặc đường dẫn cần dùng","Từ 10 đến dưới 20 phút","Có, đủ thông tin để tiếp tục","Bị chậm deadline","Có, nhưng tôi phải hỏi lại hoặc tìm nguồn khác","2-3"
"2026/09/16 7:02:26 CH GMT+7","2-3 lần","Điểm danh, standup, XP hoặc thủ tục khóa học","Mình cần xem XP với thủ tục khóa học","Đọc thông báo hoặc tin ghim;Hỏi bot Trợ lý;Hỏi bạn học;Hỏi TA/giảng viên/BTC","Có nhiều thông tin khác nhau, không biết thông tin nào áp dụng","Từ 1 đến dưới 5 phút","Có, đủ thông tin để tiếp tục","Làm thông tin mình nhận được chậm với không chuẩn","Không dùng bot","2-3"
"2026/09/16 7:03:47 CH GMT+7","4-6 lần","Điểm danh, standup, XP hoặc thủ tục khóa học","Mình cần biết thông tin về mentor duty","Dùng chức năng tìm kiếm Discord;Cuộn đọc tin nhắn cũ","Có nhiều thông tin khác nhau, không biết thông tin nào áp dụng","Từ 10 đến dưới 20 phút","Chỉ giải quyết được một phần","Mất thời gian","Có, nhưng tôi phải hỏi lại hoặc tìm nguồn khác","2-3"
"2026/09/16 7:04:03 CH GMT+7","2-3 lần","Lịch học hoặc thông báo","thông báo việc cần làm trong lab","Dùng chức năng tìm kiếm Discord;Cuộn đọc tin nhắn cũ;Hỏi bạn học","tốn thời gian","Từ 5 đến dưới 10 phút","Chỉ giải quyết được một phần","không ảnh hưởng","Không dùng bot","2-3"
"2026/09/16 7:06:28 CH GMT+7","2-3 lần","Điểm danh, standup, XP hoặc thủ tục khóa học","Cần biết topic để chọn topic","Dùng chức năng tìm kiếm Discord;Cuộn đọc tin nhắn cũ;Hỏi bot Trợ lý;Hỏi bạn học;Hỏi TA/giảng viên/BTC","Không gặp trở ngại","Dưới 1 phút","Có, đủ thông tin để tiếp tục","Chọn được đề tài","Có, câu trả lời đủ để tôi tiếp tục","0"
"2026/09/16 7:07:06 CH GMT+7","Có nma không nhớ số lần","Kiến thức hoặc lỗi khi làm bài","Cái bài làm như nào chỉnh sửa cái này giùm tôi","Đọc thông báo hoặc tin ghim;Dùng chức năng tìm kiếm Discord;Cuộn đọc tin nhắn cũ;Hỏi bạn học","Có nhiều thông tin khác nhau, không biết thông tin nào áp dụng","Không nhớ","Chỉ giải quyết được một phần","Ko quá lớn","Có, nhưng tôi phải hỏi lại hoặc tìm nguồn khác","Không nhớ"
"2026/09/16 7:08:38 CH GMT+7","4-6 lần","Điểm danh, standup, XP hoặc thủ tục khóa học","Mình bị sai MSSV khi điểm danh","Hỏi bạn học;Hỏi TA/giảng viên/BTC","Chưa nhận được câu trả lời đủ để tiếp tục","Từ 10 đến dưới 20 phút","Chưa giải quyết được","Không quá ảnh hưởng","Có, nhưng tôi phải hỏi lại hoặc tìm nguồn khác","Không nhớ"
"2026/09/16 7:08:38 CH GMT+7","4-6 lần","Điểm danh, standup, XP hoặc thủ tục khóa học","Hỏi bớt
","Đọc thông báo hoặc tin ghim;Cuộn đọc tin nhắn cũ;Hỏi bot Trợ lý;Hỏi bạn học;Hỏi TA/giảng viên/BTC","Câu trả lời khó hiểu hoặc thiếu nguồn để kiểm tra","Từ 1 đến dưới 5 phút","Chỉ giải quyết được một phần","Thắc mắc","Có, nhưng tôi phải hỏi lại hoặc tìm nguồn khác","4 trở lên"
